City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,reszel,54.0504,21.1458,12.73,73,5,2.28,PL,1724807696
150,pran buri,12.3847,99.9098,29.99,99,91,2.64,TH,1724807979
151,susanville,40.4163,-120.653,31.01,19,7,2.24,US,1724807804
152,vegreville,53.5001,-112.0518,22.17,61,100,4.63,CA,1724807982
153,tobelo,1.7284,128.0095,28.53,72,98,2.1,ID,1724807895
154,masterton,-40.9597,175.6575,15.52,63,6,4.33,NZ,1724807984
155,namsos,64.4662,11.4957,11.95,94,100,5.14,NO,1724807985
156,bull savanna,17.8868,-77.5902,26.76,78,100,4.36,JM,1724807986
157,prince rupert,54.3161,-130.3201,13.83,92,75,2.57,CA,1724807988
158,fada,7.25,4.0667,22.69,99,100,1.24,NG,1724807989
159,nar'yan-mar,67.6713,53.087,10.55,88,1,6.01,RU,1724807748
160,mili,6.0815,171.735,28.63,77,100,4.8,MH,1724807991
161,remire-montjoly,4.9167,-52.2667,24.02,100,0,1.54,GF,1724807993
162,la ronge,55.1001,-105.2842,22.14,46,75,7.72,CA,1724807994
163,moree,-29.4667,149.85,25.93,43,0,7.81,AU,1724807995
164,colonia,50.9333,6.95,16.64,84,0,1.03,DE,1724807697
165,bela,25.9333,81.9833,25.38,92,100,0.47,IN,1724807998
166,salbris,47.4242,2.0512,12.84,88,6,2.2,FR,1724807999
167,ipueiras,-7.0333,-40.45,24.16,35,100,3.71,BR,1724808000
168,chornomors'k,46.305,30.6548,20.03,88,100,8.75,UA,1724808001
169,sandpoint,48.2766,-116.5533,18.9,23,0,3.6,US,1724808003
170,huron,41.1501,-82.5499,25.51,78,2,4.41,US,1724808004
171,cockburn town,21.4612,-71.1419,28.69,76,1,7.63,TC,1724808005
172,katsuura,35.1333,140.3,28.11,79,26,5.24,JP,1724808006
173,altay,47.8667,88.1167,19.22,36,30,1.04,CN,1724808008
174,toamasina,-18.1667,49.3833,18.0,94,40,0.0,MG,1724808009
175,praia da vitoria,38.7333,-27.0667,23.14,73,20,3.71,PT,1724808010
176,westport,41.1415,-73.3579,23.98,77,0,4.12,US,1724807754
177,charters towers,-20.1,146.2667,25.5,50,40,4.6,AU,1724808013
178,geraldton,-28.7667,114.6,17.23,88,0,4.63,AU,1724808014
179,solleftea,63.1667,17.2667,12.92,78,100,3.67,SE,1724808015
180,lone grove,34.1754,-97.2628,32.21,47,0,1.54,US,1724808017
181,st. john's,47.5649,-52.7093,18.87,87,20,8.75,CA,1724808019
182,victorica,-36.2151,-65.4359,11.73,55,4,4.99,AR,1724808020
183,faya-largeau,17.9257,19.1043,28.52,62,36,4.92,TD,1724808022
184,gananoque,44.3334,-76.1661,25.51,72,100,5.03,CA,1724808023
185,puerto baquerizo moreno,-0.9,-89.6,19.15,91,20,3.87,EC,1724807833
186,guerrero negro,27.9769,-114.0611,22.86,66,5,8.53,MX,1724807993
187,lebu,-37.6167,-73.65,7.61,86,100,6.68,CL,1724808027
188,new norfolk,-42.7826,147.0587,8.17,93,100,5.07,AU,1724808028
189,nemuro,43.3236,145.575,18.13,99,100,2.2,JP,1724808029
190,badger,64.8,-147.5333,17.95,57,75,3.6,US,1724808030
191,luanda,-8.8368,13.2343,19.64,91,74,3.0,AO,1724808032
192,carnarvon,-24.8667,113.6333,19.24,68,0,3.57,AU,1724808033
193,polyarnyy,69.1989,33.4478,11.37,69,49,12.48,RU,1724808034
194,hastings,50.8552,0.5729,16.86,85,95,3.12,GB,1724808035
195,bam,29.106,58.357,28.86,14,0,6.09,IR,1724808037
196,kyshtovka,56.555,76.6271,10.24,90,17,2.33,RU,1724808038
197,sao joao da barra,-21.6403,-41.0511,17.97,71,0,3.77,BR,1724808039
198,port alfred,-33.5906,26.891,11.21,88,92,3.58,ZA,1724808040
199,richards bay,-28.783,32.0377,23.63,25,0,3.7,ZA,1724808042
200,cadale,2.7603,46.3222,25.27,86,91,5.2,SO,1724808043
201,broken hill,-31.95,141.4333,19.1,40,0,9.48,AU,1724808044
202,kapoeta,4.7717,33.5903,22.15,85,0,0.69,SS,1724808046
203,lincoln city,44.9582,-124.0179,18.16,71,100,8.05,US,1724807950
204,tofol,5.3248,163.0078,28.88,84,100,1.03,FM,1724808048
205,kenora,49.8167,-94.4337,16.54,67,100,2.57,CA,1724808049
206,belyy yar,53.6039,91.3903,14.94,88,0,0.0,RU,1724808051
207,darwin,-12.4611,130.8418,29.99,45,40,5.14,AU,1724808052
208,utrik,11.2278,169.8474,28.61,78,10,5.77,MH,1724808053
209,tsiombe,-25.3,45.4833,19.83,65,0,3.59,MG,1724808054
210,dryden,49.7833,-92.7503,14.16,77,100,3.6,CA,1724808056
211,sisimiut,66.9395,-53.6735,6.42,86,100,2.5,GL,1724808058
212,umm kaddadah,13.6017,26.6876,23.73,83,100,3.69,SD,1724808059
213,hami,42.8,93.45,29.36,20,9,4.13,CN,1724808061
214,khanty-mansiysk,61.0042,69.0019,14.06,94,0,3.0,RU,1724808062
215,chibougamau,49.9168,-74.3659,13.79,72,100,4.12,CA,1724808063
216,vadso,70.0744,29.7487,11.09,82,100,9.77,NO,1724808064
217,al bayda',32.7627,21.7551,22.27,80,1,1.98,LY,1724808066
218,bac lieu,9.285,105.7244,28.34,76,17,6.06,VN,1724808067
219,gadzhiyevo,69.2551,33.3362,11.46,69,62,12.92,RU,1724808068
220,sandnessjoen,66.0217,12.6316,12.91,71,100,6.72,NO,1724808069
221,ola,59.5833,151.2833,13.05,82,60,1.92,RU,1724808071
222,canutama,-6.5339,-64.3831,27.79,38,1,1.37,BR,1724808072
223,mugia,43.1041,-9.2179,18.28,90,82,1.39,ES,1724808073
224,tura,25.5198,90.2201,25.47,89,27,1.41,IN,1724808074
225,lesogorsk,56.0458,99.5136,14.14,76,16,3.76,RU,1724808076
226,kerikeri,-35.2268,173.9474,17.73,77,100,4.02,NZ,1724808078
227,wailua homesteads,22.0669,-159.378,28.44,67,0,6.69,US,1724808079
228,manokwari,-0.8667,134.0833,28.78,64,9,1.82,ID,1724808081
229,port lincoln,-34.7333,135.8667,14.66,57,11,10.43,AU,1724808082
230,ponta delgada,37.7333,-25.6667,21.4,78,20,3.09,PT,1724807810
231,paicandu,-23.4575,-52.0486,17.37,36,0,5.66,BR,1724808085
232,hammerfest,70.6634,23.6821,11.25,87,40,6.69,NO,1724808086
233,riyadh,24.6877,46.7219,33.6,17,1,5.14,SA,1724808087
